Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster,PCA1,PCA2
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202.1,168434320.0,17168.0,62516401.0,86.0,53604746.0,"1,846,535",,,265917250.0,"174,375,427",65.0,"6,408",77,20.0,"428,378",31.0,3156727.0,"4,843",4304870.0,654482.0,,1.0,0,-0.4349132554155626,1.0950011689775034
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,GX3Q92333626,52,200.3,104271.0,249.0,8585.0,25.0,2457026781.0,,190,"36,666",393580.0,,,12,,,,,12735768.5,,3224599.0,1881.0,,0.0,0,-0.5554190556809564,-1.7834162309050694
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198.0,1391688322.0,163876.0,130963116.0,77.0,902742581.0,"8,099,187",599,"48,035",2857920.0,"750,030,685",316.0,"1,107,265",,112.0,"11,937,930",146.0,52073859.0,"41,487",5820026.0,3521951.0,,0.0,1,3.275260156425428,-0.48173494622833996
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,3909458734.0,316378.0,148037882.0,80.0,8013997219.0,"45,770,887","2,270,315","194,420,058",2320856331.0,"2,294,804,623",465.0,"402,829",282,512.0,"2,710,931",115.0,733565655.0,"651,557",78149375.0,1146246.0,,0.0,1,12.120154459809093,-1.7755569533328368
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194.3,55346.0,42.0,16861.0,13.0,2432265978.0,"8,162,101",,,265917250.0,,,53,,,,,12735768.5,,3224599.0,200.0,,0.0,0,-0.5659273406686709,-1.77319487883121
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,4281468720.0,590392.0,165544011.0,83.0,833807130.0,"10,093,211","2,882,064","337,322,563",3501177394.0,"2,258,085,924",859.0,"1,695,240","1,116",564.0,"11,701,129",184.0,489299762.0,"319,634",28659471.0,28994660.0,,0.0,1,12.146367291033554,0.48534551009164417
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192.3,1337619917.0,228295.0,64806723.0,80.0,193982443.0,"2,023,998","423,714","148,085,419",1268862678.0,"444,033,037",152.0,"952,186",34,58.0,"2,134,791",66.0,77382416.0,"28,694",3224599.0,6205060.0,,1.0,1,2.715486014129741,1.3159087808195773
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,QZNJW2423715,58,190.0,239850720.0,2.0,41206.0,,52480069.0,"82,092",,,265917250.0,,,,,1.0,"1,657",,12735768.5,,3224599.0,854584.0,,0.0,0,-1.3107254082049384,-0.5670987742463646
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190.0,1655575417.0,1.0,3.0,,148269610.0,,,,265917250.0,,,,,,,,12735768.5,,3224599.0,854584.0,,1.0,0,0.06150751574365245,0.9341788608974718
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,1556275789.0,210583.0,95974138.0,74.0,254051906.0,"3,364,206","2,379,787","683,088,623",7945975878.0,"1,524,133,775",203.0,"718,849",117,63.0,"1,616,564",167.0,111398743.0,"71,335",10424892.0,10192485.0,,0.0,1,3.6300013070757142,-0.17667149401494972
