Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster
Sunroof,Sunroof,Nicky Youre,11/26/2021,QM24S2107064,279,92.3,0.2054686757251263,0.075629540423211,0.0880684890685629,12.0,0.0045708835343967,"807,333","11,172,130","1,672,193,890",0.0946994139759369,,0.0011655011655011,,"1,073",1.0,"11,899",,0.0087015286325158,,"6,305,169",0.0038880992777336,,0.0,2
La Vï¿½ï¿½c,La Vï¿½ï¿½c,Xavi,8/19/2023,USA2P2339944,280,92.0,0.121714156154307,0.0418925762757223,0.087016322380467,81.0,0.0261980632056808,"2,560,068","33,444","11,882,123",0.0004621194436255,"1,392,579,416",0.0198135198135198,"3,852",82,20.0,"14,503,583",22.0,0.0069381608360722,"13,336",,0.0044951343696241,,1.0,1
MY EYES,UTOPIA,Travis Scott,7/28/2023,USSM12305007,281,91.9,0.0941573936904924,0.1748908774015864,0.0516474030929833,78.0,0.0025926123583636,"564,712","8,436","16,565,594",0.0006001468498656,"2,150",0.0419580419580419,417,,12.0,"403,386",6.0,0.0003534739697542,"3,385","10,105,167",0.0086951476711373,,1.0,1
WORK,GOLDEN HOUR : Part.1,ATEEZ,5/31/2024,KRD442400011,282,91.7,0.0023670049223347,0.0011466976969499,0.0554340276117395,31.0,0.001793258726773,"586,888",,,0.001140138899939,"30,784",0.0139860139860139,158,,7.0,"18,929",41.0,7.002071374147373e-05,119,566,0.0001180966541016,,0.0,2
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/2017,USUM71703825,284,91.5,0.4001650958171236,0.2281521906668631,0.1509654179882153,65.0,0.1789008190189507,"17,308,189","1,323,640","61,011,622",0.0026068409871502,"380,296,279",0.3111888111888112,598,57,91.0,"820,925",27.0,0.2272188312599601,"1,547,528",,0.0355133659324443,,0.0,0
Ghost,Justice,Justin Bieber,3/19/2021,USUM72102635,283,91.5,0.3706273789948238,0.2573243833324017,0.2804507007004593,80.0,0.0291812469932703,"4,622,504","797,409","122,390,348",0.0050614130936289,"2,976,186,938",0.1375291375291375,"844,492","3,180",114.0,"303,462",49.0,0.088474299664773,"54,497",,0.020078487663265,,0.0,0
Dior,Meet The Woo,Pop Smoke,7/26/2019,USUM71914275,285,91.4,0.2500127261851465,0.4988863312618248,0.180647405848913,72.0,0.0556934883997695,"7,522,969","1,447,194","119,978,916",0.0046191905886876,"3,659,504",0.1526806526806527,"82,158",53,38.0,"316,666",11.0,0.0377708198631591,"69,945","103,490,551",0.0214381893068118,,1.0,3
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,9/30/2022,QMDA62210237,286,91.2,0.1683585760990996,2.032551309217112e-05,6.213230137400095e-07,17.0,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0590295708322544,"2,234,762",,0.0038880992777336,,0.0,2
Breakeven,Breakeven (Official 4K Video),The Script,4/25/2024,GB1102400418,287,91.1,0.2006270938893178,0.0,4.9553369193988494e-08,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,0.0,2
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,1/21/2022,QM4TW2218961,288,90.7,0.196055316264285,0.1819641559576619,0.1046140617222205,75.0,0.0405744513687304,"4,695,932","3,874,773","422,978,919",0.020656344008136,"438,066,241",0.0466200466200466,"29,848",601,19.0,"1,780,823",46.0,0.0056904196478691,"7,361",,0.0106964348550565,,1.0,1
SAD!,SAD!,XXXTENTACION,3/2/2018,USUG11800208,289,90.5,0.5181704538905416,0.4468225294762284,0.230373876396889,75.0,0.1103283660858224,"26,301,389","1,295,895","58,018,849",0.0018665512522887,"178,579,824",0.0885780885780885,"21,340",107,45.0,"409,497",17.0,0.1282150229452264,"508,457","79,154,715",0.0172827358015104,,1.0,3
